Logger initialized at 2025-04-14 16:40:46.285229
[2025-04-14 16:40:46] Episode 0: Total Reward = 0.60, Steps = 60
[2025-04-14 16:40:47] Episode 1: Total Reward = -2.50, Steps = 60
[2025-04-14 16:40:47] Episode 2: Total Reward = -1.25, Steps = 60
[2025-04-14 16:40:48] Episode 3: Total Reward = -2.30, Steps = 60
[2025-04-14 16:40:48] Episode 4: Total Reward = -2.25, Steps = 60
[2025-04-14 16:40:48] Episode 5: Total Reward = -1.75, Steps = 60
[2025-04-14 16:40:48] Episode 6: Total Reward = -0.90, Steps = 60
[2025-04-14 16:40:49] Episode 7: Total Reward = -1.00, Steps = 60
[2025-04-14 16:40:49] Episode 8: Total Reward = -1.65, Steps = 60
[2025-04-14 16:40:49] Episode 9: Total Reward = -2.35, Steps = 60
[2025-04-14 16:40:49] Episode 10: Total Reward = -2.25, Steps = 60
[2025-04-14 16:40:49] Episode 11: Total Reward = -0.55, Steps = 60
[2025-04-14 16:40:50] Episode 12: Total Reward = -4.65, Steps = 60
[2025-04-14 16:40:50] Episode 13: Total Reward = -6.55, Steps = 60
[2025-04-14 16:40:50] Episode 14: Total Reward = -2.30, Steps = 60
[2025-04-14 16:40:50] Episode 15: Total Reward = -1.40, Steps = 60
[2025-04-14 16:40:50] Episode 16: Total Reward = -3.75, Steps = 60
[2025-04-14 16:40:51] Episode 17: Total Reward = -0.70, Steps = 60
[2025-04-14 16:40:51] Episode 18: Total Reward = 0.20, Steps = 60
[2025-04-14 16:40:51] Episode 19: Total Reward = -5.50, Steps = 60
[2025-04-14 16:40:51] Episode 20: Total Reward = -1.85, Steps = 60
[2025-04-14 16:40:51] Episode 21: Total Reward = -1.20, Steps = 60
[2025-04-14 16:40:52] Episode 22: Total Reward = -6.05, Steps = 60
[2025-04-14 16:40:52] Episode 23: Total Reward = -0.55, Steps = 60
[2025-04-14 16:40:52] Episode 24: Total Reward = -0.45, Steps = 60
[2025-04-14 16:40:52] Episode 25: Total Reward = 1.95, Steps = 60
[2025-04-14 16:40:52] Episode 26: Total Reward = -6.05, Steps = 60
[2025-04-14 16:40:53] Episode 27: Total Reward = -3.95, Steps = 60
[2025-04-14 16:40:53] Episode 28: Total Reward = -1.90, Steps = 60
[2025-04-14 16:40:53] Episode 29: Total Reward = -4.30, Steps = 60
[2025-04-14 16:40:53] Episode 30: Total Reward = -0.95, Steps = 60
[2025-04-14 16:40:53] Episode 31: Total Reward = -3.25, Steps = 60
[2025-04-14 16:40:54] Episode 32: Total Reward = -2.70, Steps = 60
[2025-04-14 16:40:54] Episode 33: Total Reward = -1.70, Steps = 60
[2025-04-14 16:40:54] Episode 34: Total Reward = -2.25, Steps = 60
[2025-04-14 16:40:54] Episode 35: Total Reward = -2.35, Steps = 60
[2025-04-14 16:40:54] Episode 36: Total Reward = 3.45, Steps = 60
[2025-04-14 16:40:55] Episode 37: Total Reward = -0.80, Steps = 60
[2025-04-14 16:40:55] Episode 38: Total Reward = -3.35, Steps = 60
[2025-04-14 16:40:55] Episode 39: Total Reward = 1.10, Steps = 60
[2025-04-14 16:40:55] Episode 40: Total Reward = 1.30, Steps = 60
[2025-04-14 16:40:55] Episode 41: Total Reward = -0.75, Steps = 60
[2025-04-14 16:40:56] Episode 42: Total Reward = 2.45, Steps = 60
[2025-04-14 16:40:56] Episode 43: Total Reward = 5.75, Steps = 60
[2025-04-14 16:40:56] Episode 44: Total Reward = -0.80, Steps = 60
[2025-04-14 16:40:56] Episode 45: Total Reward = -2.70, Steps = 60
[2025-04-14 16:40:56] Episode 46: Total Reward = -5.70, Steps = 60
[2025-04-14 16:40:57] Episode 47: Total Reward = 2.30, Steps = 60
[2025-04-14 16:40:57] Episode 48: Total Reward = 2.25, Steps = 60
[2025-04-14 16:40:57] Episode 49: Total Reward = 0.65, Steps = 60
[2025-04-14 16:40:57] Episode 50: Total Reward = -3.45, Steps = 60
[2025-04-14 16:40:57] Episode 51: Total Reward = -2.75, Steps = 60
[2025-04-14 16:40:58] Episode 52: Total Reward = 2.00, Steps = 60
[2025-04-14 16:40:58] Episode 53: Total Reward = 3.30, Steps = 60
[2025-04-14 16:40:58] Episode 54: Total Reward = -3.15, Steps = 60
[2025-04-14 16:40:58] Episode 55: Total Reward = -0.80, Steps = 60
[2025-04-14 16:40:59] Episode 56: Total Reward = -0.95, Steps = 60
[2025-04-14 16:40:59] Episode 57: Total Reward = 0.05, Steps = 60
[2025-04-14 16:40:59] Episode 58: Total Reward = 0.85, Steps = 60
[2025-04-14 16:40:59] Episode 59: Total Reward = -0.75, Steps = 60
[2025-04-14 16:40:59] Episode 60: Total Reward = 3.65, Steps = 60
[2025-04-14 16:41:00] Episode 61: Total Reward = 2.05, Steps = 60
[2025-04-14 16:41:00] Episode 62: Total Reward = 4.40, Steps = 60
[2025-04-14 16:41:00] Episode 63: Total Reward = 2.20, Steps = 60
[2025-04-14 16:41:00] Episode 64: Total Reward = -2.15, Steps = 60
[2025-04-14 16:41:01] Episode 65: Total Reward = 2.35, Steps = 60
[2025-04-14 16:41:01] Episode 66: Total Reward = 6.65, Steps = 60
[2025-04-14 16:41:01] Episode 67: Total Reward = 0.55, Steps = 60
[2025-04-14 16:41:01] Episode 68: Total Reward = 4.00, Steps = 60
[2025-04-14 16:41:02] Episode 69: Total Reward = 2.10, Steps = 60
[2025-04-14 16:41:02] Episode 70: Total Reward = 6.25, Steps = 60
[2025-04-14 16:41:02] Episode 71: Total Reward = 0.70, Steps = 60
[2025-04-14 16:41:02] Episode 72: Total Reward = -1.50, Steps = 60
[2025-04-14 16:41:03] Episode 73: Total Reward = 4.90, Steps = 60
[2025-04-14 16:41:03] Episode 74: Total Reward = -0.05, Steps = 60
[2025-04-14 16:41:03] Episode 75: Total Reward = 5.10, Steps = 60
[2025-04-14 16:41:03] Episode 76: Total Reward = 1.55, Steps = 60
[2025-04-14 16:41:04] Episode 77: Total Reward = 2.10, Steps = 60
[2025-04-14 16:41:04] Episode 78: Total Reward = 4.20, Steps = 60
[2025-04-14 16:41:04] Episode 79: Total Reward = 0.30, Steps = 60
[2025-04-14 16:41:04] Episode 80: Total Reward = 1.10, Steps = 60
[2025-04-14 16:41:04] Episode 81: Total Reward = 1.30, Steps = 60
[2025-04-14 16:41:05] Episode 82: Total Reward = 7.10, Steps = 60
